"","amount","appropri","british","cent","commerci","commission","consider","develop","expenditur","farm","feder","fiscal","help","indian","intercours","island","june","mail","mexico","navi","need","per","provis","receipt","reform","regard","report","shall","subject","territori","treasuri","treati","upon","vessel","america","bank","incom","million","price","spain","articl","cut","dollar","econom","women","educ","school","bill","tariff","unemploy","weapon","get","method","farmer","challeng","achiev","democraci","area","billion","problem","basic","budget","goal","job","level","nuclear","percent","program","spend","technolog","today","tonight","worker","inflat","soviet"
"Abraham Lincoln",3.43398720448515,2.39789527279837,1.79175946922805,2.56494935746154,2.70805020110221,2.07944154167984,3.55534806148941,2.07944154167984,2.94443897916644,0.693147180559945,1.6094379124341,2.56494935746154,0.693147180559945,3.29583686600433,2.484906649788,2.19722457733622,2.63905732961526,1.6094379124341,2.07944154167984,3.46573590279973,2.56494935746154,2.70805020110221,2.89037175789616,3.17805383034795,0.693147180559945,2.83321334405622,3.76120011569356,4.07753744390572,3.63758615972639,3.46573590279973,3.36729582998647,3.17805383034795,4.45434729625351,3.17805383034795,1.79175946922805,2.484906649788,1.38629436111989,1.79175946922805,1.09861228866811,1.6094379124341,2.39789527279837,1.09861228866811,1.09861228866811,1.94591014905531,0.693147180559945,1.09861228866811,1.09861228866811,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Jackson",4.24849524204936,4.66343909411207,2.99573227355399,1.94591014905531,3.8286413964891,3.2188758248682,4.70048036579242,1.79175946922805,3.95124371858143,1.09861228866811,4.02535169073515,2.19722457733622,0,4.29045944114839,3.97029191355212,2.56494935746154,0.693147180559945,2.484906649788,3.25809653802148,3.49650756146648,2.39789527279837,1.09861228866811,4.31748811353631,3.2188758248682,2.39789527279837,4.33073334028633,4.14313472639153,4.72738781871234,5.34233425196481,3.36729582998647,4.61512051684126,4.85203026391962,5.75890177387728,4.00733318523247,2.39789527279837,5.01063529409626,1.6094379124341,1.38629436111989,3.17805383034795,3.55534806148941,3.55534806148941,1.79175946922805,0.693147180559945,2.07944154167984,0,1.38629436111989,0,3.89182029811063,3.3322045101752,1.38629436111989,0.693147180559945,0.693147180559945,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Johnson",4.02535169073515,3.09104245335832,2.83321334405622,3.3322045101752,2.77258872223978,2.07944154167984,3.63758615972639,2.30258509299405,3.91202300542815,0,2.99573227355399,3.58351893845611,0.693147180559945,2.56494935746154,2.484906649788,3.04452243772342,3.61091791264422,2.83321334405622,2.99573227355399,2.83321334405622,2.99573227355399,3.55534806148941,3.09104245335832,3.13549421592915,1.09861228866811,2.99573227355399,3.68887945411394,4.0943445622221,4.00733318523247,2.94443897916644,3.49650756146648,3.3322045101752,4.7361984483945,3.29583686600433,1.79175946922805,3.13549421592915,1.38629436111989,3.61091791264422,1.38629436111989,2.39789527279837,2.19722457733622,0,1.38629436111989,1.38629436111989,0,0.693147180559945,0,2.30258509299405,0,0.693147180559945,0.693147180559945,0,0,1.09861228866811,0.693147180559945,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barack Obama",1.38629436111989,0,0,1.38629436111989,0,0,0,3.17805383034795,0,1.09861228866811,3.29583686600433,1.94591014905531,5.03043792139244,0,0,0,0,1.09861228866811,0.693147180559945,0.693147180559945,5.04342511691925,1.79175946922805,0,0,4.31748811353631,0.693147180559945,1.79175946922805,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,1.09861228866811,1.94591014905531,0,5.53733426701854,3.46573590279973,3.04452243772342,4.39444915467244,2.63905732961526,0,0,4.34380542185368,3.46573590279973,3.66356164612965,3.63758615972639,4.35670882668959,4.29045944114839,3.80666248977032,0,2.83321334405622,2.77258872223978,5.03043792139244,0,2.07944154167984,3.61091791264422,3.04452243772342,3.13549421592915,2.07944154167984,2.77258872223978,3.40119738166216,2.99573227355399,3.63758615972639,3.3322045101752,5.55682806169954,2.77258872223978,3.40119738166216,3.52636052461616,3.71357206670431,3.78418963391826,3.52636052461616,4.24849524204936,4.64439089914137,4.18965474202643,1.09861228866811,1.38629436111989
"Benjamin Harrison",4.06044301054642,4.17438726989564,2.30258509299405,4.30406509320417,3.66356164612965,3.46573590279973,4.27666611901606,3.55534806148941,3.73766961828337,2.94443897916644,2.70805020110221,3.95124371858143,2.19722457733622,4.34380542185368,2.77258872223978,3.09104245335832,3.71357206670431,3.58351893845611,2.484906649788,3.25809653802148,3.66356164612965,4.38202663467388,3.91202300542815,3.25809653802148,2.77258872223978,2.99573227355399,4.4188406077966,4.18965474202643,4.49980967033027,3.80666248977032,3.95124371858143,3.68887945411394,5.59098698051086,4.00733318523247,2.56494935746154,3.09104245335832,1.79175946922805,1.09861228866811,3.49650756146648,2.56494935746154,2.77258872223978,0,2.99573227355399,1.38629436111989,1.09861228866811,3.13549421592915,3.36729582998647,3.09104245335832,3.8286413964891,0.693147180559945,0.693147180559945,1.79175946922805,4.27666611901606,2.70805020110221,1.09861228866811,1.79175946922805,0,2.07944154167984,0,1.09861228866811,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0
"Calvin Coolidge",3.71357206670431,4.0943445622221,1.38629436111989,3.55534806148941,2.63905732961526,1.6094379124341,4.18965474202643,4.47733681447821,4.24849524204936,3.46573590279973,4.51085950651685,2.77258872223978,3.63758615972639,2.77258872223978,1.6094379124341,3.2188758248682,2.07944154167984,2.30258509299405,2.07944154167984,3.8286413964891,4.68213122712422,3.46573590279973,3.76120011569356,1.79175946922805,3.29583686600433,2.484906649788,4.06044301054642,3.78418963391826,3.71357206670431,2.19722457733622,3.36729582998647,3.73766961828337,4.72738781871234,2.484906649788,3.78418963391826,3.3322045101752,3.17805383034795,2.56494935746154,3.98898404656427,0,0.693147180559945,1.38629436111989,3.09104245335832,4.38202663467388,2.39789527279837,3.66356164612965,1.6094379124341,3.61091791264422,3.2188758248682,0.693147180559945,0.693147180559945,0.693147180559945,4.34380542185368,3.76120011569356,0,1.09861228866811,0,2.89037175789616,1.09861228866811,4.26267987704132,1.6094379124341,3.09104245335832,0,1.09861228866811,2.19722457733622,0,0.693147180559945,3.25809653802148,1.09861228866811,0,0.693147180559945,0,1.38629436111989,0,0
"Chester A. Arthur",3.95124371858143,3.8286413964891,2.56494935746154,3.97029191355212,3.36729582998647,3.13549421592915,3.91202300542815,2.56494935746154,3.71357206670431,0,2.30258509299405,3.43398720448515,0,3.98898404656427,3.3322045101752,1.94591014905531,3.2188758248682,2.70805020110221,3.04452243772342,3.43398720448515,3.2188758248682,3.80666248977032,3.98898404656427,3.04452243772342,1.09861228866811,3.3322045101752,4.43081679884331,4.04305126783455,4.26267987704132,4.12713438504509,3.66356164612965,4.29045944114839,4.92725368515721,3.80666248977032,2.484906649788,2.99573227355399,1.09861228866811,2.83321334405622,0.693147180559945,2.19722457733622,2.39789527279837,1.09861228866811,2.70805020110221,0.693147180559945,0,2.89037175789616,1.79175946922805,3.36729582998647,2.63905732961526,0,0.693147180559945,0,2.77258872223978,0,1.09861228866811,1.09861228866811,0,1.09861228866811,0,1.94591014905531,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0
"Donald J. Trump",0.693147180559945,0,0,0,0,0,0.693147180559945,1.38629436111989,0,0,0.693147180559945,0,2.30258509299405,0,0,0,0,0,0,0.693147180559945,2.19722457733622,0,0,0,2.19722457733622,0.693147180559945,0,0,0.693147180559945,0,0,0,1.09861228866811,0,4.40671924726425,0,1.38629436111989,3.09104245335832,1.38629436111989,0,0,0.693147180559945,2.56494935746154,1.94591014905531,2.39789527279837,1.6094379124341,2.39789527279837,1.38629436111989,1.09861228866811,1.09861228866811,0.693147180559945,2.63905732961526,0,0,1.6094379124341,1.38629436111989,0,0.693147180559945,2.39789527279837,1.6094379124341,1.38629436111989,1.38629436111989,1.38629436111989,3.58351893845611,1.38629436111989,0.693147180559945,1.94591014905531,1.79175946922805,1.09861228866811,0.693147180559945,2.63905732961526,3.25809653802148,2.70805020110221,0,0
"Dwight D. Eisenhower",2.99573227355399,3.66356164612965,0.693147180559945,1.94591014905531,1.09861228866811,0.693147180559945,2.89037175789616,5.20948615284142,3.95124371858143,4.26267987704132,5.33271879326537,4.14313472639153,4.76217393479776,2.30258509299405,0,2.30258509299405,2.77258872223978,1.6094379124341,0,1.79175946922805,5.12396397940326,1.79175946922805,2.77258872223978,0,1.09861228866811,2.30258509299405,2.94443897916644,4.81218435537242,3.2188758248682,1.6094379124341,2.30258509299405,3.09104245335832,3.95124371858143,0.693147180559945,4.40671924726425,2.77258872223978,3.93182563272433,4.36944785246702,4.15888308335967,0,0.693147180559945,3.04452243772342,4.15888308335967,5.11198778835654,2.19722457733622,4.20469261939097,3.8286413964891,1.94591014905531,1.38629436111989,3.17805383034795,3.85014760171006,2.63905732961526,2.89037175789616,3.85014760171006,2.30258509299405,4.29045944114839,1.09861228866811,4.38202663467388,4.39444915467244,4.78749174278205,3.55534806148941,4.30406509320417,3.52636052461616,2.94443897916644,3.87120101090789,3.3322045101752,3.46573590279973,5.6970934865054,3.43398720448515,3.3322045101752,4.31748811353631,0,3.29583686600433,3.55534806148941,3.63758615972639
"Franklin D. Roosevelt",2.19722457733622,2.70805020110221,2.94443897916644,0,0.693147180559945,0,2.70805020110221,3.09104245335832,2.77258872223978,3.40119738166216,3.58351893845611,1.38629436111989,3.66356164612965,0.693147180559945,0,2.94443897916644,1.94591014905531,0,0.693147180559945,3.04452243772342,4.60517018598809,0.693147180559945,2.19722457733622,1.38629436111989,2.19722457733622,2.89037175789616,2.56494935746154,4.67282883446191,2.63905732961526,1.6094379124341,1.09861228866811,2.07944154167984,4.06044301054642,0.693147180559945,3.98898404656427,2.39789527279837,3.8286413964891,3.8286413964891,3.29583686600433,0.693147180559945,0.693147180559945,2.70805020110221,3.25809653802148,4.23410650459726,3.40119738166216,2.56494935746154,1.09861228866811,2.39789527279837,1.09861228866811,3.52636052461616,3.36729582998647,3.2188758248682,3.46573590279973,2.99573227355399,2.39789527279837,3.46573590279973,4.27666611901606,2.77258872223978,2.99573227355399,4.34380542185368,2.484906649788,2.77258872223978,2.99573227355399,3.73766961828337,2.83321334405622,0,2.19722457733622,3.93182563272433,1.79175946922805,1.38629436111989,4.30406509320417,0,3.36729582998647,1.38629436111989,0.693147180559945
"Franklin Pierce",4.04305126783455,3.17805383034795,3.55534806148941,0.693147180559945,3.2188758248682,1.79175946922805,4.33073334028633,2.30258509299405,3.49650756146648,0,2.94443897916644,3.17805383034795,0,2.63905732961526,3.04452243772342,2.56494935746154,2.83321334405622,2.70805020110221,3.13549421592915,2.99573227355399,2.30258509299405,0.693147180559945,3.61091791264422,2.89037175789616,1.79175946922805,3.98898404656427,3.36729582998647,3.58351893845611,4.59511985013459,4.54329478227,3.49650756146648,4.12713438504509,4.76217393479776,2.83321334405622,3.63758615972639,0,1.6094379124341,2.56494935746154,0.693147180559945,2.99573227355399,3.04452243772342,1.09861228866811,1.6094379124341,1.94591014905531,0,1.79175946922805,0,1.09861228866811,1.38629436111989,0,0,0,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0
"George Bush",0.693147180559945,1.09861228866811,0,0,0.693147180559945,0,0.693147180559945,2.484906649788,1.09861228866811,1.38629436111989,3.3322045101752,1.38629436111989,4.02535169073515,0,0,0,0,0.693147180559945,0,0,3.80666248977032,0.693147180559945,0,0,2.77258872223978,0.693147180559945,1.6094379124341,1.38629436111989,0.693147180559945,0,0.693147180559945,0.693147180559945,1.09861228866811,0,4.61512051684126,2.07944154167984,1.79175946922805,2.19722457733622,0.693147180559945,0,0,2.99573227355399,1.6094379124341,3.17805383034795,2.70805020110221,3.13549421592915,3.2188758248682,2.30258509299405,0.693147180559945,1.38629436111989,1.79175946922805,3.36729582998647,0,1.6094379124341,2.70805020110221,2.19722457733622,3.04452243772342,1.09861228866811,3.13549421592915,3.04452243772342,1.6094379124341,3.78418963391826,2.07944154167984,3.3322045101752,2.19722457733622,2.07944154167984,2.39789527279837,3.40119738166216,3.04452243772342,2.07944154167984,3.36729582998647,3.89182029811063,2.63905732961526,2.19722457733622,2.83321334405622
"George W. Bush",1.09861228866811,1.6094379124341,1.09861228866811,0,0,0,0.693147180559945,3.46573590279973,0,0.693147180559945,3.8286413964891,1.38629436111989,4.79579054559674,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,4.67282883446191,1.38629436111989,1.09861228866811,0,4.23410650459726,0.693147180559945,2.30258509299405,0,1.38629436111989,1.94591014905531,0,0.693147180559945,2.30258509299405,0,5.62401750618734,0.693147180559945,3.40119738166216,4.11087386417331,2.56494935746154,0.693147180559945,0.693147180559945,3.46573590279973,2.70805020110221,3.3322045101752,3.93182563272433,3.17805383034795,4.11087386417331,2.89037175789616,0.693147180559945,1.6094379124341,4.12713438504509,3.3322045101752,1.94591014905531,1.38629436111989,3.49650756146648,3.68887945411394,3.49650756146648,2.19722457733622,3.29583686600433,3.09104245335832,2.83321334405622,4.00733318523247,3.78418963391826,4.11087386417331,2.39789527279837,3.52636052461616,3.29583686600433,3.8286413964891,3.71357206670431,3.49650756146648,3.55534806148941,4.30406509320417,3.85014760171006,1.79175946922805,0.693147180559945
"George Washington",1.09861228866811,2.30258509299405,0,0,0,2.63905732961526,3.25809653802148,0.693147180559945,1.38629436111989,0,0.693147180559945,0.693147180559945,0,3.40119738166216,2.07944154167984,0,0.693147180559945,0,0,0.693147180559945,1.79175946922805,0,3.63758615972639,0.693147180559945,0,2.89037175789616,1.09861228866811,3.61091791264422,3.2188758248682,1.6094379124341,1.6094379124341,3.17805383034795,3.68887945411394,1.79175946922805,0.693147180559945,1.38629436111989,0,0,1.09861228866811,1.09861228866811,2.07944154167984,0,0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gerald R. Ford",1.09861228866811,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,2.77258872223978,1.79175946922805,1.38629436111989,4.21950770517611,2.19722457733622,3.17805383034795,0,0,0,0.693147180559945,0,0.693147180559945,0,3.40119738166216,2.484906649788,0,0,2.39789527279837,0,2.89037175789616,0,0,0,1.09861228866811,0.693147180559945,1.94591014905531,0,3.71357206670431,0,2.89037175789616,3.09104245335832,2.99573227355399,0,0,3.13549421592915,2.484906649788,3.25809653802148,1.09861228866811,1.09861228866811,0,1.6094379124341,0.693147180559945,2.19722457733622,1.38629436111989,1.6094379124341,0,0.693147180559945,2.39789527279837,3.09104245335832,1.79175946922805,2.63905732961526,3.17805383034795,2.89037175789616,1.6094379124341,3.25809653802148,1.94591014905531,3.46573590279973,2.484906649788,2.83321334405622,3.13549421592915,4.06044301054642,3.13549421592915,1.94591014905531,3.09104245335832,1.38629436111989,0.693147180559945,2.70805020110221,1.6094379124341
"Grover Cleveland",5.28826703069454,4.57471097850338,3.52636052461616,4.72738781871234,3.93182563272433,4.0943445622221,4.89783979995091,3.55534806148941,4.59511985013459,2.77258872223978,3.87120101090789,4.88280192258637,1.38629436111989,4.9416424226093,3.43398720448515,3.89182029811063,4.64439089914137,3.66356164612965,3.55534806148941,4.17438726989564,4.61512051684126,4.66343909411207,4.33073334028633,3.98898404656427,4.02535169073515,4.20469261939097,5.23644196282995,4.40671924726425,5.04985600724954,4.34380542185368,4.969813299576,4.8283137373023,5.96614673912369,4.48863636973214,2.39789527279837,4.29045944114839,2.77258872223978,3.09104245335832,4.0943445622221,3.98898404656427,3.46573590279973,1.94591014905531,3.93182563272433,2.99573227355399,1.94591014905531,2.56494935746154,3.29583686600433,2.39789527279837,4.33073334028633,1.09861228866811,1.09861228866811,0,3.76120011569356,3.36729582998647,1.09861228866811,2.19722457733622,0,3.04452243772342,0,2.70805020110221,0,0,0,0,1.38629436111989,0,0,0,0.693147180559945,0,0.693147180559945,0,1.79175946922805,0,0
"Harry S. Truman",4.38202663467388,4.58496747867057,1.38629436111989,3.89182029811063,2.07944154167984,0,3.8286413964891,5.06259503302697,5.60947179518496,4.36944785246702,5.29330482472449,5.61312810638807,4.64439089914137,1.94591014905531,0,2.07944154167984,4.06044301054642,0,1.6094379124341,3.49650756146648,5.40267738187228,2.39789527279837,3.71357206670431,4.24849524204936,0,2.30258509299405,3.46573590279973,4.66343909411207,2.89037175789616,3.17805383034795,3.29583686600433,3.46573590279973,4.56434819146784,1.6094379124341,2.63905732961526,3.87120101090789,4.62497281328427,5.89715386763674,5.27811465923052,0,0,3.13549421592915,6.0913098820777,5.56068163101553,3.2188758248682,4.39444915467244,3.78418963391826,2.89037175789616,1.79175946922805,4.14313472639153,3.36729582998647,3.25809653802148,3.36729582998647,4.14313472639153,3.8286413964891,4.57471097850338,3.46573590279973,4.36944785246702,5.33271879326537,4.61512051684126,3.95124371858143,4.81218435537242,3.58351893845611,3.95124371858143,4.69134788222914,0,4.27666611901606,5.90808293816893,2.83321334405622,2.484906649788,4.15888308335967,0,4.38202663467388,3.91202300542815,4.68213122712422
"Herbert Hoover",2.83321334405622,3.36729582998647,0.693147180559945,3.43398720448515,2.19722457733622,1.94591014905531,3.61091791264422,3.49650756146648,3.76120011569356,3.3322045101752,4.65396035015752,3.40119738166216,2.19722457733622,0,0,0,2.39789527279837,2.30258509299405,1.79175946922805,2.39789527279837,3.85014760171006,3.80666248977032,2.83321334405622,1.94591014905531,1.94591014905531,0,1.79175946922805,3.78418963391826,3.46573590279973,1.38629436111989,2.70805020110221,2.56494935746154,4.82028156560504,2.30258509299405,2.63905732961526,4.35670882668959,2.89037175789616,1.94591014905531,3.29583686600433,0,0,0,1.09861228866811,4.26267987704132,1.6094379124341,2.94443897916644,0.693147180559945,0.693147180559945,3.09104245335832,3.36729582998647,0,0,3.29583686600433,3.09104245335832,0,0,0.693147180559945,2.07944154167984,0.693147180559945,3.36729582998647,1.6094379124341,3.09104245335832,0,0.693147180559945,2.30258509299405,0,0,3.13549421592915,0,0,1.6094379124341,0,1.38629436111989,1.79175946922805,0
"James A. Garfield",0,0,0,0,1.38629436111989,0,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,2.19722457733622,1.6094379124341,1.09861228866811,0,0,2.63905732961526,0,0.693147180559945,0.693147180559945,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"James Buchanan",4.48863636973214,4.11087386417331,3.66356164612965,1.79175946922805,3.29583686600433,2.56494935746154,3.55534806148941,1.38629436111989,3.91202300542815,0.693147180559945,3.49650756146648,4.07753744390572,0.693147180559945,3.2188758248682,2.39789527279837,3.46573590279973,4.21950770517611,3.04452243772342,4.06044301054642,3.25809653802148,2.83321334405622,1.79175946922805,3.89182029811063,2.83321334405622,1.09861228866811,3.46573590279973,3.46573590279973,5.08140436498446,4.26267987704132,5.04985600724954,4.21950770517611,4.74493212836325,5.07517381523383,3.58351893845611,2.83321334405622,4.07753744390572,0,2.19722457733622,2.70805020110221,3.25809653802148,3.61091791264422,0,2.484906649788,1.79175946922805,0,1.09861228866811,1.38629436111989,3.25809653802148,3.04452243772342,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,1.6094379124341,0
"James K. Polk",4.76217393479776,3.76120011569356,3.52636052461616,3.04452243772342,3.52636052461616,3.49650756146648,4.24849524204936,2.83321334405622,3.87120101090789,1.09861228866811,3.46573590279973,3.49650756146648,0,3.71357206670431,3.13549421592915,2.07944154167984,3.3322045101752,3.58351893845611,5.88887795833288,3.91202300542815,2.484906649788,3.04452243772342,3.95124371858143,2.89037175789616,1.38629436111989,3.49650756146648,3.87120101090789,4.7361984483945,4.64439089914137,5.11799381241676,4.66343909411207,4.72738781871234,5.54907608489522,3.8286413964891,2.89037175789616,4.23410650459726,1.79175946922805,3.55534806148941,4.02535169073515,3.13549421592915,4.12713438504509,1.38629436111989,2.63905732961526,1.94591014905531,0,1.94591014905531,1.38629436111989,3.63758615972639,3.61091791264422,0,0,0.693147180559945,0,1.94591014905531,0.693147180559945,2.70805020110221,0,1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0
